collection,keys_count,types_count,keys,types,record_folder
"zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz","2","0","createdAt;status","","./records/zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz/zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz"
"zig.boom.inbox","2","0","createdAt;inboxID","","./records/zig.boom/zig.boom.inbox"
"xyz.testapp.testpost","1","0","content","","./records/xyz.testapp/xyz.testapp.testpost"
"xyz.tabletop.gameSystem","5","0","createdAt;description;name;publisher;yearPublished","","./records/xyz.tabletop/xyz.tabletop.gameSystem"
"xyz.statusphere.thought","3","0","createdAt;thought;vibe","","./records/xyz.statusphere/xyz.statusphere.thought"
"xyz.statusphere.status","2","0","createdAt;status","","./records/xyz.statusphere/xyz.statusphere.status"
"xyz.statusphere.private.status","3","0","createdAt;nonce;status","","./records/xyz.statusphere/xyz.statusphere.private.status"
"xyz.statusphere.private.message","2","0","createdAt;message","","./records/xyz.statusphere/xyz.statusphere.private.message"
"xyz.statusphere.private.key","2","0","createdAt;package","","./records/xyz.statusphere/xyz.statusphere.private.key"
"xyz.statusphere.pomodoroSession","4","0","durationSeconds;endedAt;startedAt;title","","./records/xyz.statusphere/xyz.statusphere.pomodoroSession"
"xyz.statusphere.linkRating","3","0","createdAt;rating;url","","./records/xyz.statusphere/xyz.statusphere.linkRating"
"xyz.statuscity.status","2","0","createdAt;status","","./records/xyz.statuscity/xyz.statuscity.status"
"xyz.longpost.status","2","0","createdAt;status","","./records/xyz.longpost/xyz.longpost.status"
"xyz.listen.fm","15","0","album;artists;createdAt;externalIds;name;platform;platform_id;progress_ms;track_length_ms;id;images;url;isrc;height;width","","./records/xyz.listen/xyz.listen.fm"
"xyz.jeroba.tags.tagged","2","0","record;tag","","./records/xyz.jeroba/xyz.jeroba.tags.tagged"
"xyz.jeroba.tags.tag","2","0","description;title","","./records/xyz.jeroba/xyz.jeroba.tags.tag"
