domain,namespace,collection
zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz.zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz
zig.boom,zig.boom.inbox,zig.boom.inbox
xyz.testapp,xyz.testapp.testpost,xyz.testapp.testpost
xyz.tabletop,xyz.tabletop.gameSystem,xyz.tabletop.gameSystem
xyz.statusphere,xyz.statusphere.thought,xyz.statusphere.thought
xyz.statusphere,xyz.statusphere.status,xyz.statusphere.status
xyz.statusphere,xyz.statusphere.private,xyz.statusphere.private.status
xyz.statusphere,xyz.statusphere.private,xyz.statusphere.private.message
xyz.statusphere,xyz.statusphere.private,xyz.statusphere.private.key
xyz.statusphere,xyz.statusphere.pomodoroSession,xyz.statusphere.pomodoroSession
xyz.statusphere,xyz.statusphere.linkRating,xyz.statusphere.linkRating
xyz.statuscity,xyz.statuscity.status,xyz.statuscity.status
xyz.longpost,xyz.longpost.status,xyz.longpost.status
xyz.listen,xyz.listen.fm,xyz.listen.fm
xyz.jeroba,xyz.jeroba.tags,xyz.jeroba.tags.tagged
xyz.jeroba,xyz.jeroba.tags,xyz.jeroba.tags.tag
xyz.jeroba,xyz.jeroba.heartbeat,xyz.jeroba.heartbeat
xyz.j4ck,xyz.j4ck.status,xyz.j4ck.status
xyz.imaginarymachines,xyz.imaginarymachines.trees,xyz.imaginarymachines.trees.tree
xyz.imaginarymachines,xyz.imaginarymachines.lists,xyz.imaginarymachines.lists.listItem
xyz.imaginarymachines,xyz.imaginarymachines.lists,xyz.imaginarymachines.lists.list
xyz.imaginarymachines,xyz.imaginarymachines.infodump,xyz.imaginarymachines.infodump.list
xyz.hypersphere,xyz.hypersphere.status,xyz.hypersphere.status
xyz.groundmist,xyz.groundmist.sync,xyz.groundmist.sync
xyz.groundmist,xyz.groundmist.library,xyz.groundmist.library.content
xyz.flatshcards,xyz.flatshcards.stack,xyz.flatshcards.stack
xyz.byemc,xyz.byemc.byespace,xyz.byemc.byespace.test
xyz.atland,xyz.atland.action,xyz.atland.action
xyz.addmoresphere,xyz.addmoresphere.vertexAssignment,xyz.addmoresphere.vertexAssignment
xxx.statusphere,xxx.statusphere.status,xxx.statusphere.status
x.clacks,x.clacks.overhead,x.clacks.overhead
wtf.oops,wtf.oops.test,wtf.oops.test
wtf.jik,wtf.jik.customNote,wtf.jik.customNote
