nsid,domain,url,collection_group,collection_type,creates,updates,deletes,dids_estimate,last_seen
a-------------------------------------------------------------0.0.A,0.a-------------------------------------------------------------0,https://0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.0.A,,1,0,0,1,2025-06-13T05:05:12.863Z
a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0.A0000000000000000000000000000000000000000000000000,0-------------------------------------------------------------0.a-------------------------------------------------------------0,https://0-------------------------------------------------------------0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0,A0000000000000000000000000000000000000000000000000,1,0,0,1,2025-06-13T11:23:54.379Z
a-------------------------------------------------------------0.a-------------------------------------------------------------0.a-------------------------------------------------------------0.a0000000000000000000000000000000000000000000000000,a-------------------------------------------------------------0.a-------------------------------------------------------------0,https://a-------------------------------------------------------------0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.a-------------------------------------------------------------0.a-------------------------------------------------------------0,a0000000000000000000000000000000000000000000000000,1,0,0,1,2025-06-13T10:53:24.979Z
a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0.a0000000000000000000000000000000000000000000000000,0-------------------------------------------------------------0.a-------------------------------------------------------------0,https://0-------------------------------------------------------------0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0,a0000000000000000000000000000000000000000000000000,2,0,0,1,2025-06-13T10:56:46.576Z
a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0.0----------------------------------------------0.A,0-------------------------------------------------------------0.a-------------------------------------------------------------0,https://0-------------------------------------------------------------0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.0-------------------------------------------------------------0.0-------------------------------------------------------------0,0----------------------------------------------0.A,2,0,0,2,2025-06-13T18:04:26.879Z
a-------------------------------------------------------------0.keep.going,keep.a-------------------------------------------------------------0,https://keep.a-------------------------------------------------------------0,a-------------------------------------------------------------0.keep.going,,1,0,0,1,2025-06-13T02:49:27.380Z
a-------------------------------------------------------------0.a-------------------------------------------------------------0.a-------------------------------------------------------------0.aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0,a-------------------------------------------------------------0.a-------------------------------------------------------------0,https://a-------------------------------------------------------------0.a-------------------------------------------------------------0,a-------------------------------------------------------------0.a-------------------------------------------------------------0.a-------------------------------------------------------------0,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0,1,0,0,1,2025-06-13T10:52:13.757Z
a-------------------------------------------------------------0.plums.0001-I.have.eaten,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0001-I,have.eaten,2,0,0,1,2025-06-13T11:22:29.666Z
a-------------------------------------------------------------0.plums.0003-that.were.in,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0003-that,were.in,2,0,0,1,2025-06-13T11:22:31.960Z
a-------------------------------------------------------------0.plums.0002-the.plums,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0002-the,plums,2,0,0,1,2025-06-13T11:22:30.774Z
a-------------------------------------------------------------0.plums.0004-the.icebox,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0004-the,icebox,2,0,0,1,2025-06-13T11:22:33.079Z
a-------------------------------------------------------------0.plums.0005-and.which,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0005-and,which,2,0,0,1,2025-06-13T11:22:34.178Z
a-------------------------------------------------------------0.plums.0007-saving.ah,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0007-saving,ah,1,0,0,1,2025-06-13T11:22:36.463Z
a-------------------------------------------------------------0.plums.0008-for.breakfast,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0008-for,breakfast,2,0,0,1,2025-06-13T11:22:37.556Z
a-------------------------------------------------------------0.plums.0006-you.were.probably,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0006-you,were.probably,2,0,0,1,2025-06-13T11:22:35.272Z
a-------------------------------------------------------------0.plums.0009-Forgive.me,plums.a-------------------------------------------------------------0,https://plums.a-------------------------------------------------------------0,a-------------------------------------------------------------0.plums.0009-Forgive,me,2,0,0,1,2025-06-13T11:22:38.763Z
