key,lexicons_count,lexicons
"0","1","app.ocho.plugin.manifest"
"1","2","app.ocho.plugin.manifest;com.fadeecho.status"
"2","1","com.fadeecho.status"
"3","1","com.fadeecho.status"
"4","1","com.fadeecho.status"
"name","76","a.bookmark.on.my.pds;app.atpaste.paste;app.basker.settings;app.gather.event;app.gather.group;app.gridsky.grid;app.gridsky.preferences;app.hyper-limit.bookmark.list;app.ocho.plugin.manifest;app.popsky.list;app.pst.player;app.raddle.community;app.rocksky.artist;app.skywatched.settings;app.sonasky.ref;app.tcg.card;app.yoten.activity.def;ar.cabildoabierto.data.dataset;ar.cabildoabierto.wiki.topicVersion;blog.pckt.publication;blue.badge.collection;blue.protopro.actor.profile;blue.zio.atfile.upload;com.atprofile.beta.profile;com.bibliome.bookshelf;com.habitat.docs;com.ruthub.kanban;com.welistskyblue.list.item;community.lexicon.calendar.event;community.lexicon.location.address;community.lexicon.location.hthree;community.lexicon.location.geo;community.lexicon.location.fsq;dev.fudgeu.experimental.atforumv1.forum.identity;dev.fudgeu.experimental.atforumv1.forum.group;dev.fudgeu.experimental.atforumv1.forum.category;dev.mikchan.atfs.bookmark;dev.skywell.file;exchange.recipe.collection;exchange.recipe.recipe;fail.tree.identity.claim;fyi.bluelinks.links;game.protonauts.player;guide.atproto.experimental.applicationCollection;inc.toronto.discover.beta.profile;ink.henry.annotate.trail;life.smol.resume;lol.tapapp.tap.doc;me.atpub.identity.service;net.anisota.feed.list;net.anisota.graph.list;network.cosmik.collection;network.doing.activity;network.slices.slice;org.atproto-nix.projects;org.devcon.event;org.scrapboard.list;pub.leaflet.publication;run.val.qbat.game.v1;sh.tangled.label.definition;sh.tangled.publicKey;sh.tangled.repo;sh.tangled.repo.artifact;social.clippr.feed.tag;social.popfeed.feed.list;social.slices.slice;systems.gaze.atfronter.fronter;test.example.counter;uk.atproto.bookmark.list;uk.ewancroft.site.info;win.tomo-x.atunits.unit;works.catalog.album;works.catalog.artist;works.catalog.nowPlaying;works.catalog.scrobble;works.catalog.track"
"tags","32","a.bookmark.on.my.pds;ai.syui.log;app.gather.event;app.gather.group;app.musicscrobbler.scrobble;app.popsky.list;app.popsky.review;app.raddle.community;best.akizuki.blahglegacy.post;blog.pckt.post;blue.protopro.job;blue.rito.feed.bookmark;cloud.soundsky.audio;com.crabdance.nandi.post;com.retrobrand.photo;com.shinolabs.pinksea.oekaki;com.skybemoreblue.intro.introduction;com.thinkhubtest.initiatives.initiative;com.whitewind.blog.entry;dev.fudgeu.experimental.atforumv1.feed.post;dev.pouch.bookmark;net.anisota.feed.list;net.anisota.feed.draft;net.anisota.feed.post;sky.write.on.pages;so.sprk.feed.story;social.atrena.block;social.clippr.feed.clip;social.popfeed.feed.list;social.popfeed.feed.review;space.aoisora.bookmark;us.delicio.bookmark"
"text","60","a.bookmark.on.my.pds;a.status.update;ai.syui.log;app.azsky.feed.longpost;app.dropanchor.checkin;app.flashes.feed.post;app.gridsky.draft;app.koda.feed.post.reply;app.koda.feed.post;app.popfeed.note;app.popsky.comment;app.popsky.post;app.purplespace.feed.post;app.skyart.comment;app.skyart.post;ar.cabildoabierto.feed.article;ar.com.cabildoabierto.topic;best.akizuki.blahglegacy.post;blog.pckt.publication;blue.linkat.board;business.snep.mood;chat.flock.experimental.message;cloud.soundsky.audio;club.symbio.urls;coffee.outof.beanPost;com.bsky-art-platform.art;com.example.foo.bar;com.example.ft.topic.post;com.example.test.esav;com.fujocoded.guestbook.submission;com.inkreaders.article.post;com.inkreaders.book.post;com.stroam.feed.post;com.thinkhubtest.initiatives.task;com.thinkhubtest.initiatives.comment;com.thinkhubtest.threads.post;com.welistskyblue.list.comment;community.lexicon.calendar.comment;dev.aran.test;exchange.recipe.collection;exchange.recipe.recipe;im.flushing.right.now;io.zzstoatzz.status.record;me.skyspace.aesthetics;meow.meow.meow.meow;net.anisota.feed.draft;net.anisota.feed.post;net.mmatt.right.now;party.whey.ft.topic.post;place.stream.chat.message;sc.nexus.feed.post;so.sprk.feed.post;social.atrena.block;social.grain.comment;social.popfeed.feed.post;social.popfeed.feed.note;social.popfeed.feed.comment;tools.atp.typing.test;uk.ewancroft.now;uk.skyblur.post"
"uri","66","a.bookmark.on.my.pds;ai.numinex.v2.data.post;app.custom.lolol;app.dropanchor.checkin;app.juttu.blogpost;app.koda.feed.post.reply;app.koda.feed.like;app.koda.feed.repost;app.koda.feed.replyvote;app.myclient.bookmark;app.raddle.communityMember;app.rocksky.like;app.rocksky.shout;app.skyart.like;ar.cabildoabierto.wiki.voteAccept;blog.pckt.post;blue.badge.collection;blue.flashes.actor.portfolio;blue.skymap.geo.map;blue.zio.bsky2tg.post;buzz.bookhive.buzz;club.stellz.evm.addressControl;com.atproto.label.defs;com.example.ft.topic.post;com.example.test.esav;com.protruth.feed.postLink;com.protruth.feed.post;com.skybemoreblue.intro.rejection;com.skybemoreblue.social.intro.rejection;com.welistskyblue.list.comment;com.welistskyblue.list.congrats;com.welistskyblue.list.like;community.lexicon.badge.award;community.lexicon.bookmark;community.lexicon.calendar.rsvp;community.lexicon.interaction.like;dev.at-studio.test.xrpc.collection;dev.indexx.echo.threadmute;events.smokesignal.calendar.rsvp;fyi.unravel.frontpage.comment;fyi.unravel.frontpage.vote;ink.henry.annotate.mark;jp.5leaf.sync.mastodon;li.plonk.comment;life.smol.installed;net.anisota.feed.repost;net.anisota.feed.like;net.hrkn.personas.bookmark;network.cosmik.collectionLink;party.whey.ft.topic.post;place.stream.livestream;pub.leaflet.document;so.sprk.feed.like;social.atexplore.verifiers;social.clippr.feed.clip;social.impro.managedList;space.aoisora.bookmark;systems.gaze.atfronter.fronter;tv.rizzler.feed.repost;uk.skyblur.post;user.bookmark.feed.public;works.catalog.album;works.catalog.artist;works.catalog.nowPlaying;works.catalog.scrobble;works.catalog.track"
"url","32","a.bookmark.on.my.pds;ai.hypgen.hypothesis;ai.numinex.v2.data.linkRecord;ai.syui.log;app.basker.links;app.hyper-limit.bookmark;app.juttu.blogpost;app.linkbio.link;app.linkbio.links;app.ocho.plugin.manifest;blog.pckt.post;blue.linkat.board;com.inkreaders.article.post;dev.pouch.bookmark;dev.starfall.rss.star;fo.at.links;fyi.bluelinks.links;fyi.unravel.frontpage.post;jp.5leaf.sync.mastodon;me.atpub.identity.service;me.skyspace.aesthetics;network.cosmik.card;org.bluepocket.v1.archive;org.bluepocket.v1.link;org.bluepocket.v1.save;org.scrapboard.listitem;place.stream.livestream;site.freakybob.visited;social.clippr.feed.clip;uk.ewancroft.site.info;us.delicio.bookmark;xyz.statusphere.linkRating"
