nsid,domain,url,category,type,quantity,last,
jp.5leaf.sync.mastodon,5leaf.jp,https://5leaf.jp,sync,mastodon,101486,9/24/2025,https://ufos-api.microcosm.blue/records?collection=
stream.thought.reasoning,thought.stream,https://thought.stream,reasoning,,47738,9/24/2025,
stream.thought.tool.call,thought.stream,https://thought.stream,tool,call,41178,9/24/2025,
net.anisota.beta.game.log,anisota.net,https://anisota.net,beta,game,34941,9/24/2025,
blue.flashes.feed.post,flashes.blue,https://flashes.blue,feed,post,32168,9/24/2025,
fm.teal.alpha.feed.play,teal.fm,https://teal.fm,alpha,feed,18798,9/24/2025,
app.rocksky.song,rocksky.app,https://rocksky.app,song,,15631,9/24/2025,
place.stream.chat.message,stream.place,https://stream.place,chat,message,13750,9/24/2025,
app.rocksky.scrobble,rocksky.app,https://rocksky.app,scrobble,,13267,9/24/2025,
buzz.bookhive.book,bookhive.buzz,https://bookhive.buzz,book,,12502,9/24/2025,
net.anisota.beta.game.session,anisota.net,https://anisota.net,beta,game,9530,9/24/2025,
net.anisota.beta.game.session,thought.stream,https://thought.stream,ack,,10444,9/24/2025,
app.popsky.listItem,popsky.app,https://popsky.app,listItem,,7895,9/23/2025,
net.anisota.beta.game.progress,anisota.net,https://anisota.net,beta,game,8777,9/24/2025,
com.whtwnd.blog.entry,whtwnd.com,https://whtwnd.com,blog,entry,8658,9/24/2025,
blue.flashes.actor.portfolio,flashes.blue,https://flashes.blue,actor,portfolio,6655,9/24/2025,
net.anisota.beta.game.inventory,anisota.net,https://anisota.net,beta,game,6353,9/24/2025,
uk.skyblur.post,skyblur.uk,https://skyblur.uk,post,,4991,9/24/2025,
blue.flashes.actor.profile,flashes.blue,https://flashes.blue,actor,profile,4436,9/24/2025,
org.xcvr.lrc.signet,xcvr.org,https://xcvr.org,lrc,signet,3781,9/23/2025,
app.rocksky.album,rocksky.app,https://rocksky.app,album,,3590,9/24/2025,
org.xcvr.lrc.message,xcvr.org,https://xcvr.org,lrc,message,3501,9/23/2025,
blog.pckt.post,pckt.blog,https://pckt.blog,post,,1843,9/24/2025,
social.popfeed.feed.listItem,popfeed.social,https://popfeed.social,feed,listItem,2663,9/24/2025,
social.pinksky.app.preference,pinksky.social,https://pinksky.social,app,preference,2221,9/24/2025,
app.popsky.review,popsky.app,https://popsky.app,review,,1915,9/23/2025,
sh.tangled.repo,tangled.sh,https://tangled.sh,repo,,1908,9/24/2025,
pub.leaflet.publication,leaflet.pub,https://leaflet.pub,publication,,2288,9/24/2025,
app.rocksky.artist,rocksky.app,https://rocksky.app,artist,,2202,9/24/2025,
pub.leaflet.document,leaflet.pub,https://leaflet.pub,document,,2010,9/24/2025,
systems.gaze.atfronter.fronter,gaze.systems,https://gaze.systems,atfronter,fronter,1955,9/24/2025,
sh.tangled.spindle.member,tangled.sh,https://tangled.sh,spindle,member,1735,9/24/2025,
sh.tangled.feed.star,tangled.sh,https://tangled.sh,feed,star,1621,9/24/2025,
sh.tangled.graph.follow,tangled.sh,https://tangled.sh,graph,follow,1658,9/24/2025,
net.anisota.beta.game.collection,anisota.net,https://anisota.net,beta,game,1565,9/24/2025,
blue.2048.player.stats,2048.blue,https://2048.blue,player,stats,1520,9/24/2025,
org.scrapboard.listitem,scrapboard.org,https://scrapboard.org,listitem,,1389,9/24/2025,
stream.thought.blip,thought.stream,https://thought.stream,blip,,1501,9/24/2025,
