type,lexicons_count,lexicons
"app.atpaste.paste#revision","1","app.atpaste.paste"
"blob","59","app.atpaste.paste;app.flashes.feed.post;app.ocho.plugin.assets;app.ocho.plugin.manifest;app.rocksky.album;app.rocksky.artist;app.rocksky.scrobble;app.rocksky.song;app.skyart.post;app.skyart.preferences;ar.cabildoabierto.data.dataset;ar.cabildoabierto.feed.article;ar.com.cabildoabierto.topic;best.akizuki.blahglegacy.post;blog.pckt.post;blog.pckt.publication;blue.cerulea.video.video;blue.pfp.unmodifiedPfp;blue.zio.atfile.upload;buzz.bookhive.book;chat.roomy.v0.videos;chat.roomy.v0.images;cloud.soundsky.audio;com.bsky-art-platform.art;com.imlunahey.pdf;com.lukeacl.development.blobs;com.marketplace.listing;com.retrobrand.photo;com.shinolabs.pinksea.oekaki;dev.indexx.papertrail.bookDefs;dev.mikchan.atfs.data;dev.skywell.file;exchange.recipe.recipe;fi.jaennaet.test;fm.teal.alpha.actor.profile;industries.geesawra.website;lol.tapapp.tap.doc;moe.karashiiro.kpaste.paste;my.test.blob;net.anisota.feed.post;net.nornoe.avatarArchive;network.doing.activity;network.slices.actor.profile;one.two.three;party.whey.ft.forum.definition;place.stream.livestream;sc.nexus.feed.post;sh.tangled.repo.artifact;so.sprk.actor.profile;so.sprk.feed.story;so.sprk.feed.post;so.sprk.feed.audio;social.clippr.actor.profile;social.grain.actor.profile;social.grain.photo;space.roomy.image;st.snowpo.post;test.atproto.blobTest;tools.smokesignal.blahg.content.post"
"app.bikesky.communityBot.labelDefs#labelPrompt","1","app.bikesky.communityBot.commandPrompt"
"community.lexicon.location.geo","1","app.dropanchor.checkin"
"app.flashes.feed.post#embedImages","1","app.flashes.feed.post"
"artwork","1","app.skyart.post"
"app.yoten.feed.resource","1","app.yoten.feed.session"
"ar.cabildoabierto.data.dataset#dataBlock","1","ar.cabildoabierto.data.dataset"
"com.atproto.label.defs#selfLabels","1","ar.cabildoabierto.feed.article"
"ar.cabildoabierto.wiki.topicVersion#topicProp","1","ar.cabildoabierto.wiki.topicVersion"
"ar.cabildoabierto.wiki.topicVersion#stringListProp","1","ar.cabildoabierto.wiki.topicVersion"
"ar.cabildoabierto.wiki.topicVersion#stringProp","1","ar.cabildoabierto.wiki.topicVersion"
"ar.cabildoabierto.wiki.topicVersion#dateProp","1","ar.cabildoabierto.wiki.topicVersion"
"blog.pckt.theme","1","blog.pckt.publication"
"blue.zio.atfile.finger#machine","1","blue.zio.atfile.upload"
"blue.zio.atfile.meta#unknown","1","blue.zio.atfile.upload"
"com.atprofile.beta.profile#contextItem","1","com.atprofile.beta.profile"
"app.bsky.embed.record","1","com.example.test.esav"
"app.bsky.richtext.facet#link","1","com.example.test.esav"
"com.protruth.feed.defs#claimQuote","1","com.protruth.feed.postLink"
"com.protruth.feed.defs#quote","1","com.protruth.feed.post"
"com.atproto.repo.strongRef","4","com.protruth.feed.post;community.lexicon.badge.award;net.hrkn.personas.bookmark;social.clippr.feed.clip"
"com.protruth.feed.defs#evidenceView","1","com.protruth.feed.post"
"com.protruth.embed.external#viewExternal","1","com.protruth.feed.post"
"community.lexicon.calendar.event","1","community.lexicon.calendar.rsvp"
"exchange.recipe.defs#attributionOriginal","1","exchange.recipe.recipe"
"exchange.recipe.recipe#imagesEmbed","1","exchange.recipe.recipe"
"fyi.bluelinks.links#link","1","fyi.bluelinks.links"
"my.skylights.listItem#builtin","1","my.skylights.listItem"
"app.bsky.embed.images","3","my.test.blob;net.anisota.feed.post;social.pipup.blog.entry"
"net.anisota.game.inventory","1","net.anisota.game.inventory"
"network.cosmik.card#urlContent","1","network.cosmik.card"
"network.cosmik.card#urlMetadata","1","network.cosmik.card"
"pub.leaflet.pages.linearDocument","1","pub.leaflet.document"
"pub.leaflet.pages.linearDocument#block","1","pub.leaflet.document"
"pub.leaflet.blocks.text","1","pub.leaflet.document"
"pub.leaflet.blocks.header","1","pub.leaflet.document"
"sc.nexus.embed.media","1","sc.nexus.feed.post"
"sc.nexus.embed.media#item","1","sc.nexus.feed.post"
"sc.nexus.embed.image","1","sc.nexus.feed.post"
"sc.nexus.embed.defs#aspectRatio","1","sc.nexus.feed.post"
"so.sprk.embed.video","2","so.sprk.feed.story;so.sprk.feed.post"
"social.atrena.block#textContent","1","social.atrena.block"
"app.bsky.richtext.facet#tag","1","social.grain.gallery"
"tools.atp.typing.test#quoteMode","1","tools.atp.typing.test"
"tools.atp.typing.test#promptedTextWithSource","1","tools.atp.typing.test"
"works.catalog.externalid","3","works.catalog.album;works.catalog.artist;works.catalog.track"
